,S_No,Sentence,Negative_Sentiment_Score,Positive_Sentiment_Score,Neutral_Sentiment_Score,COMPOUND_SCORE
0,1,"I don't care what anyone says, I like Hillary Clinton.",0.236,0.225,0.539,-0.033
1,2,have an awesome time at purdue!..,0.0,0.468,0.532,0.6588
2,3,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",0.0,0.308,0.692,0.8687
3,4,"Have to say, I hate Paris Hilton's behavior but I do think she's kinda cute..",0.164,0.0,0.836,-0.3291
4,5,i will love the lakers.,0.0,0.583,0.417,0.6369
5,6,"I'm so glad I love Paris Hilton, too, or this would be excruciating.",0.204,0.369,0.427,0.5379
6,7,considering most Geico commericals are stupid...,0.0,0.0,1.0,0.0
7,8,"i liked MIT though, esp their little info book(",0.0,0.286,0.714,0.4215
8,9,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",0.0,0.481,0.519,0.9493
9,10,I still like Tom Cruise.,0.0,0.455,0.545,0.3612
10,11,"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger..",0.315,0.073,0.612,-0.7311
11,12,i love angelina jolie.,0.0,0.677,0.323,0.6369
12,13,I still like Tom Cruise.,0.0,0.455,0.545,0.3612
13,14,UCLA is beautiful.,0.0,0.661,0.339,0.5994
14,15,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",0.0,0.208,0.792,0.6659
15,16,Angelina Jolie is beautiful.,0.0,0.565,0.435,0.5994
16,17,and honda's are awesome:).,0.0,0.0,1.0,0.0
17,18,I love Harvard.,0.0,0.808,0.192,0.6369
18,19,i love tom cruise!..,0.0,0.692,0.308,0.6696
19,20,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",0.0,0.296,0.704,0.743
20,21,i hate london bugs.,0.649,0.0,0.351,-0.5719
21,22,Way to go stupid Lakers..,0.459,0.0,0.541,-0.5267
22,23,london sucks....,0.0,0.0,1.0,0.0
23,24,"anyway, shanghai is really beautiful ï¼Œ æ»¨æ±Ÿå¤§é“æ˜¯å¾ˆçµçš„å•¦ ï¼Œ é‚£ä¸ªstarbucksæ˜¯ä¸Šæµ·é£Žæ™¯æœ€å¥½çš„starbucks ~ ~!!!",0.0,0.36,0.64,0.7243
24,25,"buy quite a few food to back to notts to eat la, aiiii, notts only hv 1 chinese shop in town ja, so shit, london is so GREAT!!..",0.172,0.0,0.828,-0.7352
25,26,angelina jolie is so beautiful that i don't even have the desire to attain such exquisite beauty..,0.0,0.355,0.645,0.8267
